,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
33,600000.SH,20230704,7.3,7.33,7.23,7.28,7.32,-0.04,-0.5464,174473.58,126841.704
34,600000.SH,20230703,7.25,7.33,7.25,7.32,7.24,0.08,1.105,208737.51,152174.189
35,600000.SH,20230630,7.17,7.27,7.17,7.24,7.18,0.06,0.8357,194252.83,140653.932
36,600000.SH,20230629,7.21,7.25,7.18,7.18,7.21,-0.03,-0.4161,216274.05,155944.843
37,600000.SH,20230628,7.2,7.22,7.15,7.21,7.19,0.02,0.2782,158066.14,113547.071
38,600000.SH,20230627,7.15,7.23,7.14,7.19,7.16,0.03,0.419,184126.55,132407.801
39,600000.SH,20230626,7.27,7.28,7.14,7.16,7.27,-0.11,-1.5131,340079.42,244185.921
40,600000.SH,20230621,7.29,7.37,7.27,7.27,7.29,-0.02,-0.2743,201221.47,147098.242
41,600000.SH,20230620,7.36,7.37,7.29,7.29,7.34,-0.05,-0.6812,204173.97,149411.204
42,600000.SH,20230619,7.41,7.42,7.34,7.34,7.43,-0.09,-1.2113,173686.52,128045.971
43,600000.SH,20230616,7.45,7.47,7.39,7.43,7.45,-0.02,-0.2685,269085.79,199680.699
44,600000.SH,20230615,7.43,7.49,7.39,7.45,7.4,0.05,0.6757,209369.96,155705.975
45,600000.SH,20230614,7.48,7.51,7.4,7.4,7.46,-0.06,-0.8043,179860.91,134018.714
46,600000.SH,20230613,7.43,7.48,7.4,7.46,7.43,0.03,0.4038,157243.25,117086.539
47,600000.SH,20230612,7.54,7.54,7.43,7.43,7.56,-0.13,-1.7196,203001.33,151516.728
48,600000.SH,20230609,7.57,7.6,7.53,7.56,7.57,-0.01,-0.1321,222880.77,168547.961
49,600000.SH,20230608,7.49,7.59,7.43,7.57,7.46,0.11,1.4745,276346.33,207840.752
50,600000.SH,20230607,7.4,7.5,7.4,7.46,7.38,0.08,1.084,215934.03,161137.015
51,600000.SH,20230606,7.41,7.53,7.36,7.38,7.41,-0.03,-0.4049,337363.63,251262.504
52,600000.SH,20230605,7.35,7.43,7.31,7.41,7.35,0.06,0.8163,212866.83,157069.299
53,600000.SH,20230602,7.29,7.36,7.29,7.35,7.28,0.07,0.9615,206971.56,151681.592
54,600000.SH,20230601,7.33,7.35,7.26,7.28,7.35,-0.07,-0.9524,306062.5,223217.358
55,600000.SH,20230531,7.37,7.37,7.29,7.35,7.37,-0.02,-0.2714,265693.53,194680.269
56,600000.SH,20230530,7.42,7.44,7.3,7.37,7.41,-0.04,-0.5398,269428.19,198416.676
57,600000.SH,20230529,7.32,7.46,7.31,7.41,7.32,0.09,1.2295,296240.85,218780.886
58,600000.SH,20230526,7.31,7.36,7.25,7.32,7.31,0.01,0.1368,189128.5,138237.161
59,600000.SH,20230525,7.26,7.33,7.24,7.31,7.29,0.02,0.2743,344089.74,250361.066
60,600000.SH,20230524,7.43,7.44,7.29,7.29,7.45,-0.16,-2.1477,451459.0,331690.566
61,600000.SH,20230523,7.54,7.59,7.45,7.45,7.54,-0.09,-1.1936,292137.15,219372.233
62,600000.SH,20230522,7.58,7.6,7.52,7.54,7.54,0.0,0.0,211742.97,159997.715
63,600000.SH,20230519,7.67,7.67,7.52,7.54,7.68,-0.14,-1.8229,350725.48,265388.166
64,600000.SH,20230518,7.64,7.75,7.61,7.68,7.61,0.07,0.9198,387144.02,297590.092
65,600000.SH,20230517,7.67,7.69,7.58,7.61,7.67,-0.06,-0.7823,294425.73,224614.977
66,600000.SH,20230516,7.7,7.78,7.64,7.67,7.69,-0.02,-0.2601,413977.33,318997.697
67,600000.SH,20230515,7.62,7.71,7.51,7.69,7.62,0.07,0.9186,491755.72,373081.744
68,600000.SH,20230512,7.7,7.71,7.58,7.62,7.67,-0.05,-0.6519,550037.25,420040.623
69,600000.SH,20230511,7.72,7.8,7.65,7.67,7.7,-0.03,-0.3896,431354.06,332304.491
70,600000.SH,20230510,7.93,7.95,7.65,7.7,7.96,-0.26,-3.2663,873389.19,677598.927
71,600000.SH,20230509,8.14,8.22,7.94,7.96,8.07,-0.11,-1.3631,1220589.88,987860.019
72,600000.SH,20230508,7.77,8.17,7.76,8.07,7.76,0.31,3.9948,1431178.62,1148389.705
73,600000.SH,20230505,7.68,7.9,7.66,7.76,7.68,0.08,1.0417,679911.25,529531.597
74,600000.SH,20230504,7.48,7.75,7.35,7.68,7.6,0.08,1.0526,758666.05,575141.257
